时间,合约总成交(BTC),大单成交(BTC),大单比,买大单(BTC),卖大单(BTC)
2025-10-14 12:28,10.4080,6.1180,58.78%,1.3200,4.7980
2025-10-14 12:30,0.0000,0.0000,0.00%,0.0000,0.0000
2025-10-14 12:31,82.3600,43.0400,52.26%,17.8580,25.1820
2025-10-14 12:32,148.2700,122.7910,82.82%,122.7910,0.0000
2025-10-14 12:35,19.6160,13.0890,66.73%,11.8880,1.2010
2025-10-14 12:38,242.8380,131.9230,54.33%,21.6850,110.2380
2025-10-14 12:39,4.8250,2.3720,49.16%,1.7570,0.6150
2025-10-14 12:40,7.9170,3.7590,47.48%,1.5290,2.2300
2025-10-14 12:41,65.0860,43.0580,66.16%,43.0580,0.0000
2025-10-14 13:02,25.3670,15.7880,62.24%,12.4450,3.3430
2025-10-14 13:03,120.2000,54.0600,44.98%,31.5460,22.5140
2025-10-14 13:04,82.7120,36.3260,43.92%,34.1290,2.1970
2025-10-14 13:05,25.4110,9.0500,35.61%,6.4420,2.6080
2025-10-14 13:07,93.2910,53.8300,57.70%,35.4220,18.4080
2025-10-14 13:09,61.7830,32.4470,52.52%,27.0640,5.3830
2025-10-14 13:10,465.9500,241.9690,51.93%,173.5380,68.4310
2025-10-14 13:11,937.4090,538.9240,57.49%,357.7460,181.1780
2025-10-14 13:12,492.8350,280.6980,56.96%,230.3320,50.3660
2025-10-14 13:14,168.5930,90.2530,53.53%,0.5360,89.7170
2025-10-14 13:15,327.9170,190.3540,58.05%,130.5380,59.8160
2025-10-14 13:16,46.5240,17.7350,38.12%,7.3980,10.3370
2025-10-14 13:20,181.9020,97.7930,53.76%,55.7720,42.0210
2025-10-14 13:21,148.6140,78.6980,52.95%,33.1720,45.5260
2025-10-14 13:22,123.0400,60.8040,49.42%,25.2760,35.5280
2025-10-14 13:23,180.6610,89.5380,49.56%,50.5750,38.9630
2025-10-14 13:24,199.8790,111.8980,55.98%,70.0190,41.8790
2025-10-14 13:25,143.0720,79.3900,55.49%,20.0610,59.3290
2025-10-14 13:28,92.0650,39.8590,43.29%,16.6050,23.2540
2025-10-14 13:29,923.1420,722.5540,78.27%,558.6850,163.8690
2025-10-14 13:30,143.4490,87.1430,60.75%,46.6950,40.4480
2025-10-14 13:31,19.8190,12.3560,62.34%,3.5610,8.7950
2025-10-14 13:32,162.8280,97.1400,59.66%,9.9820,87.1580
2025-10-14 13:33,1271.7950,713.2100,56.08%,153.6730,559.5370
2025-10-14 13:34,1181.9760,676.4690,57.23%,120.9410,555.5280
2025-10-14 13:35,1623.3410,871.5600,53.69%,268.9820,602.5780
