时间,委托成交(BTC),市价成交(BTC),总量(BTC),市价比
2025-10-12 20:09,1949.2620,1360.7450,3310.0070,41.11%
2025-10-12 20:10,1505.2570,1932.3310,3437.5880,56.21%
2025-10-12 20:11,4667.0970,4699.2300,9366.3270,50.17%
2025-10-12 20:12,1927.9840,1280.1930,3208.1770,39.90%
2025-10-12 20:13,2138.4510,2272.9930,4411.4440,51.52%
2025-10-12 20:14,2316.4830,2166.4430,4482.9260,48.33%
2025-10-12 20:15,4632.0410,2849.8070,7481.8480,38.09%
2025-10-12 20:16,2198.6390,2230.7360,4429.3750,50.36%
2025-10-12 20:17,1968.4380,2601.0330,4569.4710,56.92%
2025-10-12 20:18,2507.0430,2521.1980,5028.2410,50.14%
2025-10-12 20:19,1875.2060,1073.1370,2948.3430,36.40%
2025-10-12 20:20,2555.0760,2843.9750,5399.0510,52.68%
2025-10-12 20:21,2067.3500,2319.3640,4386.7140,52.87%
2025-10-12 20:22,2395.3480,3032.8280,5428.1760,55.87%
2025-10-12 20:23,2106.5540,3371.9020,5478.4560,61.55%
2025-10-12 20:24,4429.8950,2409.5090,6839.4040,35.23%
2025-10-12 20:25,1881.4510,3449.2200,5330.6710,64.71%
2025-10-12 20:26,5844.7720,6693.9450,12538.7170,53.39%
2025-10-12 20:27,3453.5780,3038.5300,6492.1080,46.80%
2025-10-12 20:28,2521.5940,2728.6370,5250.2310,51.97%
2025-10-12 20:29,4558.8910,2701.9530,7260.8440,37.21%
2025-10-12 20:30,4370.4310,3500.1010,7870.5320,44.47%
2025-10-12 20:31,2350.4410,3258.0940,5608.5350,58.09%
2025-10-12 20:32,4057.7580,2752.2550,6810.0130,40.41%
2025-10-12 20:33,2451.9250,1741.7120,4193.6370,41.53%
2025-10-12 20:34,2755.9870,3056.8540,5812.8410,52.59%
2025-10-12 20:35,8255.4250,4113.9980,12369.4230,33.26%
2025-10-12 20:36,4095.7600,4554.6430,8650.4030,52.65%
2025-10-12 20:37,3625.2270,3095.3570,6720.5840,46.06%
2025-10-12 20:38,1935.3750,1988.2030,3923.5780,50.67%
2025-10-12 20:39,2535.2790,2878.3420,5413.6210,53.17%
2025-10-12 20:40,2567.7700,3822.0090,6389.7790,59.81%
2025-10-12 20:41,1771.1990,2162.7640,3933.9630,54.98%
2025-10-12 20:42,2937.6810,1614.8210,4552.5020,35.47%
2025-10-12 20:43,1831.6370,2461.1380,4292.7750,57.33%
2025-10-12 20:44,2016.6790,1833.3970,3850.0760,47.62%
2025-10-12 20:45,3449.7390,2782.9760,6232.7150,44.65%
2025-10-12 20:46,4145.9340,5032.3050,9178.2390,54.83%
2025-10-12 20:47,5097.3890,4991.4880,10088.8770,49.48%
2025-10-12 20:48,4872.7580,5105.8170,9978.5750,51.17%
2025-10-12 20:49,4012.0460,4038.2820,8050.3280,50.16%
2025-10-12 20:50,2467.9060,4119.7790,6587.6850,62.54%
2025-10-12 20:51,2878.8310,2211.6850,5090.5160,43.45%
2025-10-12 20:52,1333.1920,1338.6920,2671.8840,50.10%
2025-10-12 20:53,1847.0670,2471.5360,4318.6030,57.23%
2025-10-12 20:54,1678.1110,889.5190,2567.6300,34.64%
2025-10-12 20:55,2815.1830,2518.0400,5333.2230,47.21%
2025-10-12 20:56,2059.0540,1731.8930,3790.9470,45.68%
2025-10-12 20:57,1630.4180,1972.0740,3602.4920,54.74%
2025-10-12 20:58,914.6000,1011.6620,1926.2620,52.52%
2025-10-12 20:59,1867.3400,1806.2550,3673.5950,49.17%
2025-10-12 21:00,1095.6530,1686.6700,2782.3230,60.62%
2025-10-12 21:01,4079.0590,3174.7570,7253.8160,43.77%
2025-10-12 21:02,2050.7680,2335.4610,4386.2290,53.25%
2025-10-12 21:03,3137.4670,2731.4030,5868.8700,46.54%
2025-10-12 21:04,1400.7230,2416.8240,3817.5470,63.31%
2025-10-12 21:05,2303.3050,1392.2250,3695.5300,37.67%
2025-10-12 21:06,3280.5930,2737.5270,6018.1200,45.49%
2025-10-12 21:07,2216.6810,1347.2160,3563.8970,37.80%
2025-10-12 21:08,1929.2750,3898.7900,5828.0650,66.90%
2025-10-12 21:09,3923.8540,2294.8790,6218.7330,36.90%
2025-10-12 21:10,2829.9730,3550.7140,6380.6870,55.65%
2025-10-12 21:11,2420.5600,3395.6530,5816.2130,58.38%
2025-10-12 21:12,2165.6210,2313.0270,4478.6480,51.65%
2025-10-12 21:13,3196.2400,2547.2570,5743.4970,44.35%
2025-10-12 21:14,2479.9870,3549.5050,6029.4920,58.87%
2025-10-12 21:15,4261.4750,3861.4550,8122.9300,47.54%
2025-10-12 21:16,3380.9230,2678.1660,6059.0890,44.20%
2025-10-12 21:17,5132.0910,3451.2330,8583.3240,40.21%
2025-10-12 21:18,2813.8390,2795.5400,5609.3790,49.84%
2025-10-12 21:19,2334.3210,2466.7260,4801.0470,51.38%
2025-10-12 21:20,3300.3320,980.2820,4280.6140,22.90%
2025-10-12 21:21,4830.0100,4380.6010,9210.6110,47.56%
2025-10-12 21:22,8692.8100,5727.7440,14420.5540,39.72%
2025-10-12 21:23,9609.8900,6057.5210,15667.4110,38.66%
2025-10-12 21:24,4421.2580,3394.2570,7815.5150,43.43%
2025-10-12 21:25,4021.9910,3618.5330,7640.5240,47.36%
2025-10-12 21:26,4677.9010,3744.4790,8422.3800,44.46%
2025-10-12 21:27,8079.5650,5091.1160,13170.6810,38.65%
2025-10-12 21:28,910.5120,2069.8650,2980.3770,69.45%
2025-10-12 21:29,1613.7940,3147.9720,4761.7660,66.11%
2025-10-12 21:30,2128.5930,2564.5910,4693.1840,54.65%
2025-10-12 21:31,1564.2070,1103.7750,2667.9820,41.37%
2025-10-12 21:32,9930.9490,7425.8540,17356.8030,42.78%
2025-10-12 21:33,7744.6920,9819.5840,17564.2760,55.91%
2025-10-12 21:34,4446.3400,4760.0570,9206.3970,51.70%
2025-10-12 21:35,4762.3440,5331.9130,10094.2570,52.82%
2025-10-12 21:36,6031.7060,9269.5680,15301.2740,60.58%
2025-10-12 21:37,4492.5810,4377.7990,8870.3800,49.35%
2025-10-12 21:38,4621.3030,3173.6660,7794.9690,40.71%
2025-10-12 21:39,4674.6190,4976.0860,9650.7050,51.56%
2025-10-12 21:40,4019.9480,6735.4540,10755.4020,62.62%
2025-10-12 21:41,5917.2320,7353.4730,13270.7050,55.41%
2025-10-12 21:42,7851.9410,7752.6570,15604.5980,49.68%
2025-10-12 21:43,6884.4460,5661.8310,12546.2770,45.13%
2025-10-12 21:44,4487.6400,5230.7740,9718.4140,53.82%
2025-10-12 21:45,4395.5380,3009.4400,7404.9780,40.64%
2025-10-12 21:46,4854.2720,5103.0960,9957.3680,51.25%
2025-10-12 21:47,6334.3320,4261.3910,10595.7230,40.22%
2025-10-12 21:48,2842.1360,5637.2090,8479.3450,66.48%
2025-10-12 21:49,6414.1920,3918.6720,10332.8640,37.92%
2025-10-12 21:50,3880.2940,6635.6250,10515.9190,63.10%
2025-10-12 21:51,4571.5420,5070.9900,9642.5320,52.59%
2025-10-12 21:52,5556.4090,6404.8670,11961.2760,53.55%
2025-10-12 21:53,7406.5670,5782.8470,13189.4140,43.84%
2025-10-12 21:54,3683.8170,4051.0130,7734.8300,52.37%
2025-10-12 21:55,3510.2170,2394.2740,5904.4910,40.55%
2025-10-12 21:56,4499.6870,4728.8020,9228.4890,51.24%
2025-10-12 21:57,3288.7100,2669.2220,5957.9320,44.80%
2025-10-12 21:58,3604.6300,2963.9660,6568.5960,45.12%
2025-10-12 21:59,2844.7910,4162.9810,7007.7720,59.41%
2025-10-12 22:00,5366.1780,5446.2070,10812.3850,50.37%
2025-10-12 22:01,5331.2160,5949.1550,11280.3710,52.74%
2025-10-12 22:02,3007.3560,4149.4860,7156.8420,57.98%
2025-10-12 22:03,4806.7530,5780.0350,10586.7880,54.60%
2025-10-12 22:04,4066.4280,5078.2780,9144.7060,55.53%
2025-10-12 22:05,1832.8580,2152.8310,3985.6890,54.01%
