时间,委托成交(BTC),市价成交(BTC),总量(BTC),市价比
2025-10-13 11:35,15.5960,2.6570,18.2530,14.56%
2025-10-13 11:36,56.3240,60.1320,116.4560,51.63%
2025-10-13 11:37,85.8690,97.3960,183.2650,53.14%
2025-10-13 11:38,83.5010,35.5420,119.0430,29.86%
2025-10-13 11:41,46.2740,47.0060,93.2800,50.39%
2025-10-13 11:42,76.0790,84.4610,160.5400,52.61%
2025-10-13 11:43,35.3060,25.8650,61.1710,42.28%
2025-10-13 11:44,60.3070,54.3560,114.6630,47.41%
2025-10-13 11:45,47.0240,88.8180,135.8420,65.38%
2025-10-13 11:46,127.5580,80.5660,208.1240,38.71%
2025-10-13 11:47,67.7840,53.5230,121.3070,44.12%
2025-10-13 11:48,77.1950,92.6400,169.8350,54.55%
2025-10-13 11:49,85.2720,43.5830,128.8550,33.82%
2025-10-13 11:50,64.3270,47.7670,112.0940,42.61%
2025-10-13 11:51,134.5240,38.2870,172.8110,22.16%
2025-10-13 11:52,131.8270,47.7150,179.5420,26.58%
2025-10-13 11:53,74.8140,77.0610,151.8750,50.74%
2025-10-13 11:54,62.8810,104.6960,167.5770,62.48%
2025-10-13 11:55,11.8060,25.8600,37.6660,68.66%
2025-10-13 11:56,52.4020,52.1700,104.5720,49.89%
2025-10-13 11:57,46.4370,70.8520,117.2890,60.41%
2025-10-13 11:58,52.4070,11.6410,64.0480,18.18%
2025-10-13 11:59,46.2420,63.2240,109.4660,57.76%
2025-10-13 12:00,54.9410,127.8730,182.8140,69.95%
2025-10-13 12:01,60.7120,67.2510,127.9630,52.56%
2025-10-13 12:02,35.2840,50.8650,86.1490,59.04%
2025-10-13 12:03,49.8520,49.1250,98.9770,49.63%
2025-10-13 12:04,38.2120,73.9100,112.1220,65.92%
2025-10-13 12:05,37.5090,35.0140,72.5230,48.28%
2025-10-13 12:06,29.9870,10.9760,40.9630,26.79%
2025-10-13 12:07,52.7470,70.1940,122.9410,57.10%
2025-10-13 12:08,33.8030,17.4930,51.2960,34.10%
2025-10-13 12:09,30.0710,48.4790,78.5500,61.72%
2025-10-13 12:10,23.1740,35.2330,58.4070,60.32%
2025-10-13 12:13,7.6950,0.5140,8.2090,6.26%
2025-10-13 12:14,14.8990,44.3520,59.2510,74.85%
2025-10-13 12:15,32.8110,28.3510,61.1620,46.35%
2025-10-13 12:16,54.6800,31.9370,86.6170,36.87%
2025-10-13 12:17,1.5380,0.1080,1.6460,6.56%
2025-10-13 12:18,14.1640,82.9280,97.0920,85.41%
2025-10-13 12:19,65.1810,21.6090,86.7900,24.90%
2025-10-13 12:20,106.5050,41.3130,147.8180,27.95%
2025-10-13 12:21,38.6090,115.1980,153.8070,74.90%
2025-10-13 12:22,19.6660,45.3860,65.0520,69.77%
2025-10-13 12:23,94.8350,89.7170,184.5520,48.61%
2025-10-13 12:24,38.1480,55.7800,93.9280,59.39%
2025-10-13 12:25,32.2810,26.2930,58.5740,44.89%
2025-10-13 12:26,61.3920,70.3390,131.7310,53.40%
2025-10-13 12:27,45.2300,48.8480,94.0780,51.92%
2025-10-13 12:28,59.9440,21.9180,81.8620,26.77%
